Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Protocol Name,Basic,Read-Only,Text (free),$MethodDefinition.schema:name,inferred,shared,
Technique,Basic,Read-Only,Controlled list,$MethodDefinition.schema:measurementTechnique.schema:DefinedTerm.schema:termCode,inferred,shared,
Protocol Author,Basic,Read-Only,Text (free),$MethodDefinition.schema:creator.schema:name,inferred,shared,
Analyst,N/A,Basic,Text (free),$Dataset.schema:contributor[schema:roleName='analyst'].schema:name,inferred,shared,
Laboratory,Basic,Editable,Text (free),$MethodDefinition.schema:location.schema:Place[schema:additionalType='Default Laboratory'].schema:name,authored,shared,dual-home decision: protocol default
Laboratory,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:location.schema:Place[schema:additionalType='Laboratory'].schema:name,authored,shared,dual-home decision: analysis-tier value
Laboratory ID,Advanced,Editable,URI,$MethodDefinition.schema:location.schema:Place[schema:additionalType='Default Laboratory'].schema:identifier,authored,shared,dual-home decision: protocol default
Laboratory ID,Advanced,Editable,URI,$Dataset.prov:wasGeneratedBy.schema:location.schema:Place[schema:additionalType='Laboratory'].schema:identifier,authored,shared,dual-home decision: analysis-tier value
Protocol Start Date,Basic,Read-Only,Date,$MethodDefinition.schema:datePublished,inferred,shared,
Analysis Start Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:startDate,inferred,shared,
Analysis End Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:endDate,inferred,shared,
Protocol DOI,N/A,Basic,URI / DOI,$Dataset.schema:measurementTechnique.schema:DefinedTerm.schema:identifier,inferred,shared,
Funding Source for Protocol Development,Basic,Read-Only,Text (free),$MethodDefinition.schema:funding[].schema:MonetaryGrant.schema:name,inferred,shared,
Funding Source for Analysis,N/A,Basic,Text (free),$Dataset.schema:funding,inferred,shared,
Protocol Reference(s),Advanced,Read-Only,URI / DOI,$MethodDefinition.schema:relatedLink[schema:linkRelationship='techniquePublication'].schema:target.schema:name,inferred,shared,
Coupled Technique(s),Advanced,Editable,Controlled list / Text,$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,authored,shared,dual-home decision: protocol default
Coupled Technique(s),Advanced,Editable,Controlled list / Text,$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,authored,shared,dual-home decision: analysis-tier value
Coupling Description,Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,authored,shared,dual-home decision: protocol default
Coupling Description,Advanced,Editable,Text (free),$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,authored,shared,dual-home decision: analysis-tier value
Coupled Protocol DOI,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledProtocol'].schema:target.schema:url,inferred,shared,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI / Text,$Dataset.schema:relatedLink[schema:linkRelationship='coupledDataset'].schema:target,inferred,shared,
Target Material,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,shared,
Target Feature(s),Basic,Read-Only,Text (free),$MethodDefinition.ada:targetFeature,inferred,,
Applicable Sample Dimension Range,Basic,Read-Only,Text (free),$MethodDefinition.ada:applicableSampleDimensionRange,inferred,,
Sample Dimensions (L × W × H),Advanced,Basic,Text (free),$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Dimensions L W H'].schema:defaultValue,authored,,dual-home decision: protocol default
Sample Dimensions (L × W × H),Advanced,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Dimensions L W H'].schema:value,authored,,dual-home decision: analysis-tier value
Sample Mass,N/A,Advanced,Numeric (g),,flagged,,analysis-instance (needs mapping)
Sample Mounting Method,Advanced,Editable,Controlled list / Text,$MethodDefinition.schema:additionalProperty[schema:name='Sample Mounting Method'].schema:defaultValue,inferred,,
Sample Mounting Method,Advanced,Editable,Controlled list / Text,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Sample Mounting Method'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Sample Name,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:name,inferred,shared,
Sample Persistent Identifier,N/A,Advanced,URI / IGSN,$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:identifier,inferred,shared,
Sample Preparation Notes,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Sample Preparation Notes'].schema:defaultValue,inferred,,
Sample Preparation Notes,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Sample Preparation Notes'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
CT System Manufacturer and Model,Basic,Read-Only,Text (free),$MethodDefinition.ada:ctSystemManufacturerAndModel,inferred,,
X-ray Source Configuration,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:xRaySourceConfiguration,inferred,,
X-ray Tube Anode Material,Advanced,Read-Only,Controlled list / Text,$MethodDefinition.schema:additionalProperty[schema:name='X ray Tube Anode Material'].schema:value,inferred,,
Detector Type,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:detectorType,inferred,,
Detector Array Size,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Detector Array Size'].schema:value,inferred,,
Detector Pixel Size,Advanced,Read-Only,Numeric (µm),$MethodDefinition.schema:additionalProperty[schema:name='Detector Pixel Size'].schema:value,inferred,,
Optical Objective,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Optical Objective'].schema:value,inferred,,
Acquisition Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,authored,shared,dual-home decision: protocol default
Acquisition Software,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used[ada:toolRole='acquisition'].schema:name,authored,shared,dual-home decision: analysis-tier value
Reconstruction Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,,dual-home decision: protocol default
Reconstruction Software,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used[ada:toolRole='dataReduction'].schema:name,authored,,dual-home decision: analysis-tier value
Segmentation and Analysis Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,,dual-home decision: protocol default
Segmentation and Analysis Software,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used[ada:toolRole='dataReduction'].schema:name,authored,,dual-home decision: analysis-tier value
Analytical Mode,Basic,Read-Only,Controlled vocabulary,$MethodDefinition.ada:analyticalMode[],inferred,shared,
Accelerating Voltage,Basic,Editable,Numeric (kV),$MethodDefinition.schema:instrument[schema:additionalType='XCT'].ada:acceleratingVoltageDefault,authored,divergent,divergence decision applied
