Metadata Item,Description / Purpose,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By
Matrix Correction Method,"X-ray matrix correction algorithm applied during quantitative EDS or WDS data reduction. For X-ray mapping, applies when raw count maps are converted to quantitative concentration maps.",Basic,Read-Only,Controlled list,PAP (Pouchou & Pichoir Full) | XPP (Simplified PAP) | PhiRhoZ Bastin (EPQ-91) | Love-Scott I | Love-Scott II | Armstrong / Love-Scott | ZAF | CITZAF (Armstrong 1995) | Bence-Albee | Other: specify | Unknown | N/A | None,"Shared by: EPMA, SEM, SEM_Composition.",2026-08-12,(none)
Mass Absorption Coefficients (MACs),"Database of mass absorption coefficients used in the matrix correction. MAC database choice affects accuracy particularly for light elements (B, C, N, O, F, Na).",Basic,Read-Only,Controlled list,LINEMU | CITZMU | MCMASTER | MAC30 | MACJTA | FFAST | Other: specify | Unknown | N/A | None,"Shared by: EPMA, SEM, SEM_Composition.",2026-05-13,(none)
Halogen Correction on Oxygen,"Whether oxygen content was adjusted to account for halogen substitution (F and/or Cl replacing OH) in halogen-bearing phases such as apatite, amphibole, and mica, where oxygen is calculated by stoichiometry.",Advanced,Editable,Boolean,Yes | No | N/A,"Shared by: EPMA, SEM, SEM_Composition.",2026-05-11,(none)
Analyte Estimation Method,"Whether elemental concentrations were calculated directly from measured X-ray intensities, or estimated by cation stoichiometry (e.g., oxygen calculated from cation proportions in silicates; carbon from stoichiometry in carbonates).",Advanced,Read-Only,Controlled list,Direct (measured) | Stoichiometry from cations | By difference | Other: specify | Unknown | N/A | None,"Shared by: EPMA, SEM, SEM_Composition.",2026-08-11,analyte
Technique per Analyte,"For each analyte, records which X-ray detection technique (EDS or WDS) was used to collect the measurement. Required when a procedure employs both EDS and WDS simultaneously, assigning each element to the detector appropriate to its concentration range, line overlap situation, or required precision. List in the same order as the Analyte field.",Basic,Read-Only,Controlled list,WDS | EDS | Other: specify | N/A | None,"Shared by: SEM, SEM_Composition.",2026-07-24,analyte
Time-Dependent Intensity Correction,"Type of time-dependent intensity (TDI) correction applied to compensate for beam-induced volatilisation or migration of sensitive elements (e.g., Na, K, F in glasses, feldspars, carbonates). Most commonly applied in WDS point analysis; uncommon for EDS or X-ray mapping.",Advanced,Editable,Controlled list,None | Linear | Exponential | Double exponential | Other: specify | Unknown | N/A,"Shared by: EPMA, SEM, SEM_Composition. NEEDS RECONCILING - wording differs by table. Majority wording used above; the variant(s): [EPMA] Type of time-dependent intensity (TDI) correction applied to compensate for beam-induced volatilization or migration of sensitive elements (e.g., Na, K, F in glasses, feldspars, carbonates). Most commonly applied in point analysis; uncommon for X-ray mapping.",2026-08-11,analyte
Drift Correction,"Describes whether and how stage or beam drift was monitored and corrected during the measurement session. Examples: periodic stage realignment to a fiducial marker, automated beam drift correction in acquisition software, or reanalysis of a reference point at regular intervals. Particularly relevant for long mapping runs and high-magnification sessions where positional accuracy affects data quality.",Advanced,Editable,Text (free),"e.g., 'Primary standards re-measured at start, midpoint, and end of session; calibration linearly interpolated' | 'Faraday cup beam current verified every 30 min' | 'None'","Shared by: EPMA, SEM, SEM_Composition. NEEDS RECONCILING - wording differs by table. Majority wording used above; the variant(s): [EPMA] Method used to monitor and correct for instrument drift (beam current drift, spectrometer drift) during the analytical session.",2026-05-11,(none)
Background Correction Method,Method used to estimate and subtract background X-ray intensity beneath the peak. For WDS: typically 2-point off-peak linear interpolation or Mean Atomic Number (MAN) background model. For EDS: spectral background fitting or top-hat filter applied during spectral processing.,Basic,Editable,Controlled list,2-point off-peak linear | 2-point off-peak exponential | 2-point off-peak polynomial | 1-point high with slope factor | 1-point low with slope factor | Mean Atomic Number (MAN) | EDS background fit | Top-hat filter | Other: specify | N/A | None,"Shared by: EPMA, SEM, SEM_Composition.",2026-08-11,(none)
Blank Correction,"Method and reference material(s) used to determine and subtract blank signal contributions (e.g., carbon coat contribution to C signal, or background contamination for trace elements).",Advanced,Editable,Text (free),"e.g., 'Blank C signal subtracted using carbon-coated polished glass reference' | 'None'","Shared by: EPMA, SEM, SEM_Composition.",2026-08-11,analyte
Primary Calibration Standard Name,"Name(s) of the primary reference material(s) used for intensity calibration in EDS or WDS quantification. Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",Basic,Editable,Text (free),"e.g., 'Smithsonian anorthite (Si Ka, Al Ka, Ca Ka)' | 'Amelia albite (Na Ka)' | 'Synthetic fayalite (Fe Ka)' | 'SrF2 (F Ka)'","Shared by: EPMA, SEM, SEM_Composition. NEEDS RECONCILING - wording differs by table. Majority wording used above; the variant(s): [EPMA] Name(s) of the primary reference material(s) used for element standardization (intensity calibration). Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",2026-08-11,analyte
