Metadata Item,Description / Purpose,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By
Diffracting Crystal,Analyzing crystal (monochromator) used on each spectrometer assignment. Crystal choice determines the detectable wavelength range and dispersion.,Basic,Read-Only,Controlled list,LIF | LLIF | LIFL | LIFH | PET | LPET | PETL | PETH | PETJ | TAP | TAPL | TAPH | LTAP | LDE1 | LDE2 | LDE3 | RAP | KAP | ADP | Other: specify | Unknown | N/A | None,"Shared by: EPMA, SEM, SEM_Composition.",2026-08-12,channel
WDS Spectrometer Channel,"WDS spectrometer position(s) assigned to each analyte, one entry per assignment. An analyte may be assigned to more than one spectrometer with intensities aggregated (aggregate intensity counting), and one spectrometer serves several analytes across a run, so the assignment — not the analyte — is the unit carrying the spectrometer setup. Different spectrometers may have different crystal configurations.",Advanced,Read-Only,Text (free),"e.g., 'Si=Sp1; Ti=Sp2; Cr=Sp2+Sp3 (aggregate intensity counting); Fe=Sp3' | 'Mg=Sp1; Ca=Sp4; Na=Sp5'","Shared by: EPMA, SEM, SEM_Composition.",2026-08-12,defines: channel per analyte
WDS Spectrometer Configuration,"Number, type, and crystal range of WDS spectrometers on the instrument. Include manufacturer, model, and crystal range. For SEM-WDS configurations (third-party WDS on a non-EPMA platform), include WDS manufacturer and model.",Advanced,Read-Only,Text (free),"e.g., '5 Rowland-circle WDS spectrometers (JEOL), crystal range LDE1-LIFH' | '4 WDS spectrometers (Cameca)'","Shared by: EPMA, SEM, SEM_Composition.",2026-08-12,(none)
WDS Dead Time Correction,"Method used to correct for WDS proportional counter dead time at high count rates. Dead time errors are most significant for major elements with high count rates (e.g., Si, Fe, Ca). Unlike EDS dead time — which is hardware-managed and reported as a session QC percentage (see EDS Dead Time) — WDS dead time correction is a user-selectable algorithm in the data reduction software. No separate measured WDS dead time value is reported; the correction is applied transparently during intensity-to-concentration conversion.",Basic,Read-Only,Controlled list,Default constant 3 us (Cameca) | Adjusted constant (Cameca) | Default constant (JEOL) | Adjusted constant (JEOL) | High-precision (Probe for EPMA) | Logarithmic | Super-precision | Other: specify | Unknown | N/A | None,"Shared by: EPMA, SEM, SEM_Composition.",2026-08-11,(none)
WDS PHA Setting,Pulse height analyzer (PHA) setting for the WDS detector. Integral mode accepts all pulses above a threshold; Differential mode selects a narrow energy window to reject higher-order reflections and escape peaks.,Advanced,Read-Only,Controlled list,Integral | Differential | Other: specify | Unknown | N/A | None,"Shared by: EPMA, SEM, SEM_Composition.",2026-08-12,channel
X-ray Line,"X-ray emission line measured on each spectrometer assignment. Line choice affects sensitivity, matrix correction accuracy, and susceptibility to peak overlap and spectral interference.",Basic,Read-Only,Controlled list,Ka | Kb | La | Lb | Lg | Ma | Mb | Other: specify | N/A | None,"Shared by: EPMA, SEM, SEM_Composition.",2026-08-12,channel
Peak Counting Time,"Time spent counting X-ray intensity at the peak position, in seconds, on each spectrometer assignment. Procedure specifies standard values; analysts may adjust within procedure-defined bounds.",Basic,Editable,Numeric (s),"e.g., 10 | 20 | 30 | 60","Shared by: EPMA, SEM, SEM_Composition.",2026-08-12,channel
Background Counting Time,"Total time spent counting at off-peak background position(s) in seconds, summed across all background positions.",Basic,Editable,Numeric (s),"e.g., 5 | 10 | 20","Shared by: EPMA, SEM, SEM_Composition.",2026-08-12,channel
Background Position(s),"Location(s) of off-peak background measurement(s) relative to the peak, in mm or sin-theta, and whether on the high- or low-energy side.",Advanced,Editable,Text (free),"e.g., '+5 mm (High), -5 mm (Low)' | 'High only (+4 mm)' | 'MAN method (no off-peak positions)'","Shared by: EPMA, SEM, SEM_Composition.",2026-08-12,channel
Proportional Counter / Detector,Type of detector used on each spectrometer assignment. Affects sensitivity and count rate linearity.,Advanced,Read-Only,Controlled list,High Pressure P10 Flow | Low Pressure P10 Flow | Xe Sealed | SDD | Si(Li) | Other: specify | Unknown | N/A | None,"Shared by: EPMA, SEM, SEM_Composition.",2026-08-12,channel
