Metadata Item,Description / Purpose,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By
ICP-MS Manufacturer & Model,Manufacturer and model of the ICP-MS instrument.,Basic,Read-Only,Text (free),,,,(none)
ICP-MS Type,Type of ICP-MS mass analyser and collector configuration.,Basic,Read-Only,Controlled list,,,,(none)
RF Power,"ICP radiofrequency forward power in watts. Affects plasma temperature, ionisation efficiency, oxide formation, and whether cool or normal plasma conditions are in effect. The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.",Basic,Editable,Numeric (W),,,,(none)
Coolant (Plasma) Gas Flow Rate,"Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min. Determines plasma volume and stability. Set during initial plasma optimisation and confirmed at each session start.",Basic,Editable,Numeric (L/min),,,,(none)
Auxiliary Gas Flow Rate,"Flow rate of the intermediate (auxiliary) argon gas stream that positions the plasma relative to the load coil, in L/min. Affects ion extraction efficiency and oxide production rates. Distinct from the carrier gas (which transports ablation aerosol) and the coolant (plasma) gas.",Basic,Editable,Numeric (L/min),,,,(none)
Carrier Gas and Flow Rate,"Gas used to transport ablated aerosol from the ablation cell to the ICP-MS torch, with the procedure-registered target flow rate(s). Helium is standard for most UV laser systems due to superior aerosol transport. Flow rates are procedure targets; actual session values may be adjusted within ±10% during tuning.",Basic,Editable,Text (free),,,,(none)
Torch Type,Type of plasma torch installed. Injector inner diameter (typically 1.5–2.5 mm) affects aerosol transport efficiency and plasma conditions in LA-ICP-MS.,Advanced,Read-Only,Text (free),,,,(none)
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer. Affects ion transmission efficiency, oxide formation, and doubly-charged species production. The procedure specifies a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.",Advanced,Editable,Text (free),,,,(none)
Interface Cone Configuration,Combination of sample cone and skimmer cone installed during analysis.,Basic,Read-Only,Text (free),,,,(none)
Sampler and Skimmer Cone Material,"Material composition of the sampler and skimmer cones. Common materials are nickel (standard), platinum (for high-TDS or organic-matrix samples), and aluminium (for high-purity work). Cone material affects sensitivity, matrix tolerance, and long-term stability. State both sampler and skimmer materials; if identical, a single statement is acceptable.",Advanced,Read-Only,Text (free),,,,(none)
Guard Electrode,Whether the guard electrode (also called extraction lens or Fassel torch shield) was active during analysis.,Basic,Read-Only,Controlled list,,,,(none)
Plasma Thermal Mode,"Whether the ICP plasma is operated under cool plasma (≤900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Cool plasma substantially reduces argide-based polyatomic interferences (e.g., ⁴⁰Ar on ⁴⁰Ca, ⁴⁰Ar⁴⁰Ar on ⁸⁰Se). This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field.",Basic,Read-Only,Controlled list,,,,(none)
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer. For single-collector instruments, note whether dual pulse-counting/analog mode is used. For multi-collector instruments, describe the Faraday/multiplier cup layout.",Basic,Read-Only,Text (free),,,,(none)
Ion Counter Dead Time,"Dead time of each ion-counting detector channel, used in the dead-time correction applied to high count rates. Distinct from pulse/analog cross-calibration, which relates the two detector modes rather than correcting counting losses within the pulse-counting mode.",Basic,Editable,Numeric (ns),,,,channel
Sample Introduction,"Configuration by which the ablated aerosol is delivered to the plasma, including tubing, any signal-homogenising device, and any co-aspirated solution introduced alongside the aerosol — for example a Tl solution used for instrumental mass bias correction, or an isotopic spike used for isotope dilution. Distinct from the carrier and make-up gas fields, which record gas identity and flow rather than what else enters the plasma.",Basic,Read-Only,Text (free),,,,(none)
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit. Supports traceability to instrument service records.,Advanced,Editable,Text (free),,,,(none)
ICP Tuning,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration).",Advanced,Editable,Text (free),,,,(none)
Instrument Warm-up / Session Duration Limit,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions. These constraints are part of the procedure and cannot be varied by the analyst.",Advanced,Read-Only,Text (free),,,,(none)
Plasma / Make-up Gas Addition,"Additional gas(es) mixed into the carrier stream downstream of the ablation cell, with the procedure-registered target flow rate. Ar make-up gas is standard. Small N₂ additions can enhance sensitivity for some elements. If N₂ is not added, state ""None"" explicitly to distinguish from not reported.",Advanced,Editable,Text (free),,,,(none)
Sensitivity as Useful Yield,"Instrument sensitivity expressed as useful yield: the percentage of sampled atoms of a given element ultimately detected as ions, with the method used to derive it cited. A more rigorous and more comparable statement of sensitivity than counts per second per unit concentration, which depends on spot size, fluence and repetition rate.",N/A,Advanced,Numeric (%),,,,analyte
