Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Accelerating Voltage,Basic,Editable,Numeric (kV),$MethodDefinition.schema:instrument[schema:additionalType='EPMA'].ada:acceleratingVoltageDefault,authored,divergent,divergence decision applied,
Accelerating Voltage,Basic,Editable,Numeric (kV),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='EPMA'].schema:additionalProperty[schema:name='Accelerating Voltage'].schema:value,inferred,divergent,tier rule: analysis value is an additionalProperty on the instrument,
Acquisition Software,Basic,Editable,Text (free),,module,shared,placement owned by Module Core,
Acquisition Software,Basic,Editable,Text (free),,module,shared,placement owned by Module Core,
Additional Notes,Advanced,Advanced,Text (free),,module,shared,placement owned by Module Core,
Additional Notes,Advanced,Advanced,Text (free),,module,shared,placement owned by Module Core,
Analysis End Date,N/A,Basic,Date,,module,shared,placement owned by Module Core,
Analysis Start Date,N/A,Basic,Date,,module,shared,placement owned by Module Core,
Analyst,N/A,Basic,Text (free),,module,shared,placement owned by Module Core,
Analyte,Basic,Editable,Text (free),,module,shared,placement owned by Module Analyte,defines: analyte
Analyte Estimation Method,Advanced,Read-Only,Controlled list / Text,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,triage decision (reviewer),analyte
Analytical Accuracy,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,per-element in electron-beam techniques; ICP-MS keeps the per-run scalar,standard x reported property
Analytical Mode,Basic,Read-Only,Controlled list,,module,shared,placement owned by Module Core,
Analytical Precision,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,per-element in electron-beam techniques; ICP-MS keeps the per-run scalar,standard x reported property
X-ray Background Correction Method,Basic,Editable,Controlled list,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,divergence decision applied,channel
Background Counting Time,Basic,Editable,Numeric (s),$MethodDefinition.ada:channelTemplate.ada:channelColumns[],authored,shared,,channel
Background Position(s),Advanced,Editable,Text (free),$MethodDefinition.ada:channelTemplate.ada:channelColumns[],authored,shared,,channel
Beam Current,Basic,Editable,Numeric (nA),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,,sample > sampling unit
Beam Damage Minimization,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Beam Damage Minimization'].schema:defaultValue,inferred,shared,,sample > sampling unit
Beam Damage Minimization,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Beam Damage Minimization'].schema:value,inferred,shared,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,sample > sampling unit
Beam Diameter,Basic,Editable,Numeric (µm) / Text,$MethodDefinition.schema:instrument[schema:additionalType='EPMA'].ada:beamDiameterDefault,authored,divergent,divergence decision applied,sample > sampling unit
Beam Diameter,Basic,Editable,Numeric (µm) / Text,$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='EPMA'].schema:additionalProperty[schema:name='Beam Diameter'].schema:value,authored,divergent,tier rule: analysis value is an additionalProperty on the instrument,sample > sampling unit
Beam Mode,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:instrument[schema:additionalType='EPMA'].ada:beamMode,authored,divergent,,sample > sampling unit
Beam Raster Dimensions,Advanced,Editable,Numeric pair (µm x µm),$MethodDefinition.schema:additionalProperty[schema:name='Beam Raster Dimensions'].schema:defaultValue,authored,shared,divergence decision applied,sample > sampling unit
Beam Raster Dimensions,Advanced,Editable,Numeric pair (µm x µm),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Beam Raster Dimensions'].schema:value,inferred,shared,dual-home counterpart (tier matrix),sample > sampling unit
Blank Correction,Advanced,Editable,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,divergence decision applied,analyte
Counting Statistics Error,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,per-element in electron-beam techniques; ICP-MS keeps the per-run scalar,sample > sampling unit x reported property
