ID,System Name,Instrument Family,1. Sample Introduction,2. Ion Source,3. Ion Optics / Transfer,4. Mass Analyzer,5. Detector,Primary Application,Relative Prevalence
Q-ICP-MS,Quadrupole ICP-MS,ICP-MS,Solution nebulization,Inductively Coupled Plasma,Extraction cones + ion lenses + collision/reaction cell,Quadrupole,Electron multiplier (dual mode),Trace element concentrations,Very High
QQQ-ICP-MS,Triple Quadrupole ICP-MS/MS,ICP-MS,Solution nebulization,Inductively Coupled Plasma,Extraction cones + ion lenses,Triple quadrupole (Q1-CRC-Q2),Electron multiplier (dual mode),Trace elements with enhanced interference removal,High
HR-ICP-MS,High-Resolution ICP-MS,ICP-MS,Solution nebulization,Inductively Coupled Plasma,Extraction cones + ion lenses + ESA,Double-focusing magnetic sector,Electron multiplier / Faraday,Trace elements at high mass resolution,Medium
MC-ICP-MS,Multi-Collector ICP-MS,ICP-MS,Solution nebulization,Inductively Coupled Plasma,Extraction cones + ion lenses + ESA,Double-focusing magnetic sector,Faraday cup array + ion counters,High-precision isotope ratios,High
LA-Q-ICP-MS,LA-ICP-MS (Quadrupole),ICP-MS,Laser ablation,Inductively Coupled Plasma,Extraction cones + ion lenses + collision/reaction cell,Quadrupole,Electron multiplier (dual mode),In situ trace element mapping/spot analysis,High
LA-MC-ICP-MS,LA-MC-ICP-MS,ICP-MS,Laser ablation,Inductively Coupled Plasma,Extraction cones + ion lenses + ESA,Double-focusing magnetic sector,Faraday cup array + ion counters,"In situ isotope ratios (U-Pb, Hf, etc.)",High
LA-ICP-TOF,LA-ICP-TOF-MS,ICP-MS,Laser ablation,Inductively Coupled Plasma,Extraction cones + ion lenses,Time-of-flight,Microchannel plate / electron multiplier,"Fast multi-element imaging, all masses simultaneous",Low-Medium
TIMS,TIMS (single collector),TIMS,Filament loading (Re/Ta),Thermal ionization (surface),Electrostatic extraction + ion lenses,Magnetic sector (single-focusing),Faraday cup / electron multiplier,"Isotope ratios, geochronology",Medium
MC-TIMS,Multi-Collector TIMS,TIMS,Filament loading (Re/Ta),Thermal ionization (surface),Electrostatic extraction + ion lenses + ESA,Double-focusing magnetic sector,Faraday cup array + ion counters,"High-precision isotope ratios (Sr, Nd, Pb, Os, U)",High
N-TIMS,Negative TIMS,TIMS,Filament loading,Thermal ionization (negative ions),Electrostatic extraction + ion lenses + ESA,Double-focusing magnetic sector,Faraday cup array + ion counters,"Os, B isotopes (negative ion mode)",Low
SIMS,Large-geometry SIMS,SIMS,Primary ion beam sputtering (O-/Cs+),Ion sputtering (secondary ions),Electrostatic extraction + ESA + transfer optics,Double-focusing magnetic sector,Faraday cup + electron multiplier,"In situ isotope ratios, trace elements, U-Pb dating",Medium
SHRIMP,SHRIMP,SIMS,Primary ion beam sputtering (O2-),Ion sputtering (secondary ions),Electrostatic extraction + ESA + transfer optics,Double-focusing magnetic sector (large radius),Faraday cup + electron multiplier,"U-Pb zircon geochronology, high mass resolution",Medium
NanoSIMS,NanoSIMS,SIMS,"Primary ion beam sputtering (Cs+/O-, coaxial)",Ion sputtering (secondary ions),Coaxial extraction + ESA + transfer optics,Double-focusing magnetic sector,Electron multiplier array (5-7 detectors),"Sub-100nm isotopic imaging, presolar grains",Medium
ToF-SIMS,ToF-SIMS,SIMS,Primary ion beam sputtering (Bi3+/Ga+/C60+),Ion sputtering (secondary ions),Pulsed extraction + reflectron,Time-of-flight (reflectron),Microchannel plate,"Surface molecular imaging, depth profiling",Low-Medium
GS-IRMS,Gas Source IRMS (continuous flow),IRMS,Elemental analyzer / gas bench,Electron ionization (Nier source),Ion lenses + acceleration,Magnetic sector (single-focusing),Faraday cup array (3-6 cups),"Bulk stable isotopes (C, N, O, S, H)",Very High
GC-IRMS,GC-C-IRMS,IRMS,GC separation + combustion/pyrolysis interface,Electron ionization (Nier source),Ion lenses + acceleration,Magnetic sector (single-focusing),Faraday cup array (3-6 cups),Compound-specific stable isotopes,High
DI-IRMS,Dual Inlet IRMS,IRMS,Dual inlet (sample vs reference gas),Electron ionization (Nier source),Ion lenses + acceleration,Magnetic sector (single-focusing),Faraday cup array,High-precision bulk isotope ratios,Medium
CRDS,Cavity Ring-Down Spectroscopy (laser),IRMS,Gas introduction to optical cavity,None (optical absorption),N/A (optical cavity mirrors),N/A (laser wavelength scanning),Photodetector,"Water isotopes (d18O, dD), CO2 isotopes",High
NGMS,Noble Gas Static MS,Noble Gas,Vacuum extraction line (furnace/laser) + cryogenic separation,Electron ionization (Baur-Signer/Nier source),Electrostatic extraction + ion lenses,Magnetic sector,Faraday cup + electron multiplier / Daly,"He, Ne, Ar, Kr, Xe isotopes, thermochronology",Medium
ArAr-MS,40Ar/39Ar MS,Noble Gas,Laser/furnace extraction + getter purification,Electron ionization,Electrostatic extraction + ion lenses,Magnetic sector (multicollector),Faraday cup + electron multiplier,40Ar/39Ar geochronology,High
