Metadata Item,Description / Purpose,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By
Ion Beam Source,Ion beam source type in a FIB-SEM dual-beam system. Gallium LMIS (Ga+) is the most common ion source; xenon plasma FIB (PFIB) provides higher material removal rates for large-volume milling; helium and neon ion microscopes (GFIS) provide nanometre-resolution imaging and low-damage milling.,Basic,Read-Only,Controlled list,Gallium LMIS (Ga+) | Xenon plasma FIB (PFIB) | Helium GFIS | Neon GFIS | Other: specify | N/A | None,"Shared by: SEM, SEM_FIBSEM.",2026-08-11,(none)
Coarse Milling Conditions,Ion beam voltage and current used for bulk material removal during FIB milling. For TEM specimen preparation: bulk trenching to isolate the lamella and intermediate thinning. For 3D tomography: face preparation and initial slice removal.,Basic,Editable,Text (free),"e.g., '30 kV, 2.5 nA (bulk trenching); 16 kV, 0.8 nA (intermediate thinning)'","Shared by: SEM, SEM_FIBSEM.",2026-08-11,(none)
Fine Polishing Conditions,"Ion beam voltage and current for final thinning and surface polishing of the TEM lamella. Low-voltage polishing (2 kV or below) minimises Ga implantation depth, surface amorphisation, and curtaining artifacts.",Basic,Editable,Text (free),"e.g., '5 kV, 0.3 nA; final polish: 2 kV, 72 pA' | '1 kV, 0.1 nA final step'","Shared by: SEM, SEM_FIBSEM.",2026-08-11,(none)
Ion Milling Conditions (3D Tomography),Ion beam voltage and current used to mill each slice during FIB-SEM serial sectioning. These parameters determine material removal rate per slice and exposed surface quality.,Basic,Editable,Text (free),"e.g., 'Ga+ 30 kV, 2.5 nA (slice milling)'","Shared by: SEM, SEM_FIBSEM.",2026-08-11,(none)
Lift-out Method,Method used to transfer the FIB-prepared lamella to the TEM support grid. In-situ lift-out uses a micromanipulator inside the FIB-SEM chamber and is the standard method for small or precious specimens.,Basic,Read-Only,Controlled list,"In-situ (micromanipulator, Cu or Mo TEM half-grid) | Ex-situ | Other: specify | N/A | None","Shared by: SEM, SEM_FIBSEM.",2026-08-11,(none)
Protective Coating Deposition,"Type and deposition conditions of the protective coating applied to the sample surface before FIB milling. E-beam deposition causes less surface damage than ion-beam deposition and should be applied as the initial layer. Typical coatings: platinum (Pt) or carbon (C). State material, deposition method, beam conditions, and approximate thickness.",Basic,Editable,Text (free),"e.g., 'E-beam Pt (5 kV, 1.5 nA, ~500 nm) then Ga+ ion-beam Pt (30 kV, 0.3 nA, ~2 µm)' | 'E-beam C (5 kV) + ion-beam C (2-3 µm total)'","Shared by: SEM, SEM_FIBSEM.",2026-08-11,(none)
Slice Thickness,Thickness of each FIB-milled slice during serial sectioning in nanometres. Controls the Z-axis resolution of the 3D reconstruction.,Basic,Editable,Numeric (nm),"e.g., 10 | 20 | 50 | 100","Shared by: SEM, SEM_FIBSEM.",2026-08-11,(none)
Foil Thickness,"Target thickness of the electron-transparent TEM lamella after final FIB polishing, in nanometres. Actual thickness may differ from target. Typical range: 50-150 nm for standard TEM/STEM; 200-600 nm for XANES or tomography sections.",Basic,Editable,Numeric + unit,"e.g., '~100 nm' | '50-80 nm' | '100-200 nm'","Shared by: SEM, SEM_FIBSEM.",2026-08-11,(none)
Voxel Size and Image Stack Dimensions,"X, Y, Z dimensions of the reconstructed 3D voxel in nanometres (X-Y pixel size from SEM image calibration; Z from slice thickness), and the total number of slices in the stack. Determined at analysis time.",N/A,Basic,Text (free),"e.g., '14.6 x 8.3 x 10.0 nm, 600 slices' | '14.8 x 14.8 x 20 nm, 800 slices'","Shared by: SEM, SEM_FIBSEM.",2026-08-11,(none)
3D Image Registration,"Method used to align consecutive SEM image slices in the 3D stack to correct for drift, vibration, and curtaining artifacts. Include software used.",Basic,Editable,Text (free),"e.g., 'Cross-correlation (FIJI/ImageJ)' | 'Fiducial marker alignment' | 'Auto Slice and View G3 built-in drift correction' | 'Avizo drift correction'","Shared by: SEM, SEM_FIBSEM.",2026-08-11,(none)
3D Segmentation Method,"Method and software used to segment phases and features in the aligned 3D image stack, transforming the grayscale stack into labelled 3D regions (pores, mineral phases, grain boundaries, organic matter).",Basic,Editable,Text (free),"e.g., 'Greyscale thresholding (Avizo Fire 8.1)' | 'Machine learning (Dragonfly 2022)' | 'Manual tracing' | 'Region growing' | 'None'","Shared by: SEM, SEM_FIBSEM.",2026-08-11,(none)
