Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Procedure Name,Basic,Read-Only,Text (free),$MethodDefinition.schema:name,inferred,shared,,
Technique,Basic,Read-Only,Controlled list,$MethodDefinition.schema:measurementTechnique.schema:DefinedTerm.schema:termCode,inferred,shared,,
Procedure Author,Basic,Read-Only,Text (free),$MethodDefinition.schema:creator.schema:name,inferred,shared,,
Analyst,N/A,Basic,Text (free),$Dataset.schema:contributor[schema:roleName='analyst'].schema:name,inferred,shared,,
Laboratory,Basic,Editable,Text (free),$MethodDefinition.schema:location.schema:Place[schema:additionalType='Default Laboratory'].schema:name,authored,shared,dual-home decision: protocol default,
Laboratory,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:location.schema:Place[schema:additionalType='Laboratory'].schema:name,authored,shared,dual-home decision: analysis-tier value,
Laboratory ID,Advanced,Editable,URI / DOI,$MethodDefinition.schema:location.schema:Place[schema:additionalType='Default Laboratory'].schema:identifier,authored,shared,dual-home decision: protocol default,
Laboratory ID,Advanced,Editable,URI / DOI,$Dataset.prov:wasGeneratedBy.schema:location.schema:Place[schema:additionalType='Laboratory'].schema:identifier,authored,shared,dual-home decision: analysis-tier value,
Procedure Start Date,Basic,Read-Only,Date,$MethodDefinition.schema:datePublished,inferred,shared,,
Analysis Start Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:startDate,inferred,shared,,
Analysis End Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:endDate,inferred,shared,,
Procedure DOI,N/A,Basic,URI / DOI,$Dataset.schema:measurementTechnique.schema:DefinedTerm.schema:identifier,inferred,shared,,
Funding Source for Procedure Development,Advanced,Read-Only,Text (free),$MethodDefinition.schema:funding[].schema:MonetaryGrant.schema:name,inferred,shared,,
Funding Source for Analysis,N/A,Basic,Text (free),$Dataset.schema:funding,inferred,shared,,
Procedure Reference(s),Advanced,Read-Only,URI / DOI,$MethodDefinition.schema:relatedLink[schema:linkRelationship='techniquePublication'].schema:target.schema:name,inferred,shared,,
Coupled Technique(s),Advanced,Editable,Controlled list / Text,$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,authored,shared,dual-home decision: protocol default,
Coupled Technique(s),Advanced,Editable,Controlled list / Text,$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,authored,shared,dual-home decision: analysis-tier value,
Coupling Description,Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,authored,shared,dual-home decision: protocol default,
Coupling Description,Advanced,Editable,Text (free),$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,authored,shared,dual-home decision: analysis-tier value,
Coupled Procedure DOI,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledProcedure'].schema:target.schema:url,inferred,shared,,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI / Text,$Dataset.schema:relatedLink[schema:linkRelationship='coupledDataset'].schema:target,inferred,shared,,
Target Material,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,shared,,
Target Feature(s),Basic,Read-Only,Text (free),$MethodDefinition.ada:targetFeature,inferred,,,
Applicable Sample Dimension Range,Basic,Read-Only,Text (free),$MethodDefinition.ada:applicableSampleDimensionRange,inferred,,,
Sample Dimensions (L × W × H),Advanced,Basic,Text (free),$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Dimensions L W H'].schema:defaultValue,authored,,dual-home decision: protocol default,
Sample Dimensions (L × W × H),Advanced,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Dimensions L W H'].schema:value,authored,,dual-home decision: analysis-tier value,
Pre-Analysis Imaging and Screening,Advanced,Editable,Text (free),$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Pre-Analysis Imaging and Screening'].schema:defaultValue,keyed,,triage decision (reviewer),sample
Pre-Analysis Imaging and Screening,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Pre-Analysis Imaging and Screening'].schema:value,keyed,,triage decision (reviewer),sample
Sample Mounting Method,Advanced,Editable,Controlled list / Text,$MethodDefinition.schema:additionalProperty[schema:name='Sample Mounting Method'].schema:defaultValue,inferred,,,
Sample Mounting Method,Advanced,Editable,Controlled list / Text,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Sample Mounting Method'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Sample Name,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:name,inferred,shared,,defines: sample
Sample Persistent Identifier,Advanced,Advanced,URI / IGSN,$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:identifier,inferred,shared,,sample
Sample Preparation Notes,Advanced,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:description,authored,,"sample-preparation step, following the EPMA convention",
Sample Preparation Notes,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:description,authored,,"sample-preparation step, following the EPMA convention",
X-ray Source Configuration,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:xRaySourceConfiguration,inferred,,,
X-ray Tube Anode Material,Advanced,Read-Only,Controlled list / Text,$MethodDefinition.schema:additionalProperty[schema:name='X ray Tube Anode Material'].schema:value,inferred,,,
Detector Type,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:detectorType,inferred,,,
Detector Array Size,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Detector Array Size'].schema:value,inferred,,,
Detector Pixel Size,Advanced,Read-Only,Numeric (µm),$MethodDefinition.schema:additionalProperty[schema:name='Detector Pixel Size'].schema:value,inferred,,,
Optical Objective,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Optical Objective'].schema:value,inferred,,,
Acquisition Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,authored,shared,dual-home decision: protocol default,
Acquisition Software,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='acquisition'].schema:name,authored,shared,dual-home decision: analysis-tier value,
Reconstruction Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,,dual-home decision: protocol default,
Reconstruction Software,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,,dual-home decision: analysis-tier value,
Analytical Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:analyticalMode[],inferred,shared,,
Accelerating Voltage,Basic,Editable,Numeric (kV),$MethodDefinition.schema:instrument[schema:additionalType='XCT'].ada:acceleratingVoltageDefault,authored,divergent,divergence decision applied,
Accelerating Voltage,Basic,Editable,Numeric (kV),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='XCT'].schema:additionalProperty[schema:name='Accelerating Voltage'].schema:value,inferred,divergent,tier rule: analysis value is an additionalProperty on the instrument,
Tube Current,Basic,Editable,Numeric (µA),$MethodDefinition.schema:instrument[schema:additionalType='XCT'].ada:tubeCurrentDefault,authored,,dual-home decision: protocol default,
Tube Current,Basic,Editable,Numeric (µA),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='XCT'].schema:additionalProperty[schema:name='Tube Current'].schema:value,authored,,tier rule: analysis value is an additionalProperty on the instrument,
X-ray Power,Advanced,Editable,Numeric (W),$MethodDefinition.schema:additionalProperty[schema:name='X ray Power'].schema:defaultValue,inferred,,,
X-ray Power,Advanced,Editable,Numeric (W),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='X ray Power'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
X-ray Pre-filter,Basic,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='XCT'].ada:xRayPreFilterDefault,authored,,dual-home decision: protocol default,
X-ray Pre-filter,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='XCT'].schema:additionalProperty[schema:name='X-ray Pre-filter'].schema:value,authored,,tier rule: analysis value is an additionalProperty on the instrument,
Source-to-Object Distance (SOD),Advanced,Editable,Numeric (mm),$MethodDefinition.schema:additionalProperty[schema:name='Source to Object Distance SOD'].schema:defaultValue,inferred,,,
Source-to-Object Distance (SOD),Advanced,Editable,Numeric (mm),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Source to Object Distance SOD'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Source-to-Detector Distance (SDD),Advanced,Editable,Numeric (mm),$MethodDefinition.schema:additionalProperty[schema:name='Source to Detector Distance SDD'].schema:defaultValue,inferred,,,
Source-to-Detector Distance (SDD),Advanced,Editable,Numeric (mm),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Source to Detector Distance SDD'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy,
Voxel Size,Basic,Editable,Numeric (µm),$MethodDefinition.schema:instrument[schema:additionalType='XCT'].ada:voxelSizeDefault,authored,,dual-home decision: protocol default,
Voxel Size,Basic,Editable,Numeric (µm),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='XCT'].schema:additionalProperty[schema:name='Voxel Size'].schema:value,authored,,tier rule: analysis value is an additionalProperty on the instrument,
Rotation Range,Basic,Editable,Numeric (°),$MethodDefinition.ada:rotationRangeDefault,authored,,dual-home decision: protocol default,
Rotation Range,Basic,Editable,Numeric (°),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Rotation Range'].schema:value,authored,,tier rule: session parameter is an additionalProperty on the analysis,
Number of Projections,Basic,Editable,Integer,$MethodDefinition.ada:numberOfProjectionsDefault,authored,,dual-home decision: protocol default,
Number of Projections,Basic,Editable,Integer,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Number of Projections'].schema:value,authored,,tier rule: session parameter is an additionalProperty on the analysis,
Rotation Step Size,Advanced,Editable,Numeric (°),$MethodDefinition.schema:additionalProperty[schema:name='Rotation Step Size'].schema:defaultValue,inferred,,,
